category_name,category_url,is_page_list
Pot de fleur en terre cuite,/c/pot-de-fleur-en-terre-cuite,False
Pot de fleur en bois,/c/pot-de-fleur-en-bois,False
Carré potager & potager sur pieds,/c/carre-potager-et-potager-sur-pieds,False
Jardinière en terre cuite émaillée,/c/jardiniere-en-terre-cuite-emaillee,True
Pot en métal rond,/c/pot-en-metal-rond,True
Pot à réserve d'eau en résine,/c/pot-a-reserve-d-eau-en-resine,True
Pot en terre cuite carré,/c/pot-en-terre-cuite-carre,True
Pot en bois rond,/c/pot-en-bois-rond,True
Accessoires pour carré potager,/c/accessoires-pour-carre-potager,True
Carré potager en fibre naturelle,/c/carre-potager-en-fibre-naturelle,True
Carré potager en bois,/c/carre-potager-en-bois,True
Pot en bois carré,/c/pot-en-bois-carre,True
Jardinière en bois,/c/jardiniere-en-bois,True
Amphore & vase en terre cuite,/c/amphore-et-vase-en-terre-cuite,True
Jardinière en terre cuite,/c/jardiniere-en-terre-cuite,True
Pot horticole en terre cuite,/c/pot-horticole-en-terre-cuite,True
Pot en terre cuite rond,/c/pot-en-terre-cuite-rond,True
Pot à réserve d'eau en fibre,/c/pot-a-reserve-d-eau-en-fibre,True
Pot à réserve d'eau en plastique,/c/pot-a-reserve-d-eau-en-plastique,True
Jardinière en métal,/c/jardiniere-en-metal,True
Pot en terre cuite émaillée rond,/c/pot-en-terre-cuite-emaillee-rond,True
Pot de fleur en fibre,/c/pot-de-fleur-en-fibre,False
Soucoupe & support pour pot,/c/soucoupe-et-support-pour-pot,False
Pot de fleur en plastique,/c/pot-de-fleur-en-plastique,False
Produit de soin et d'entretien pour le bassin,/c/produit-de-soin-et-d-entretien-pour-le-bassin,False
Alimentation pour poisson de bassin,/c/alimentation-pour-poisson-de-bassin,False
Plante aquatique,/c/plante-aquatique,False
Pot en fibre rond,/c/pot-en-fibre-rond,True
Crochet pour suspension de plante,/c/crochet-pour-suspension-de-plante,True
Pot en plastique rotomoulé,/c/pot-en-plastique-rotomoule,True
Produit de soin & d'entretien des poissons du bassin,/c/produit-de-soin-et-d-entretien-des-poissons-du-bassin,True
Nourriture pour poisson de bassin en flocons,/c/nourriture-pour-poisson-de-bassin-en-flocons,True
Plante immergée de bassin,/c/plante-immergee-de-bassin,True
Plante de berge,/c/plante-de-berge,True
Plante de surface pour bassin,/c/plante-de-surface-pour-bassin,True
Nénuphar,/c/nenuphar,True
Nourriture pour poisson de bassin en granulés,/c/nourriture-pour-poisson-de-bassin-en-granules,True
Produit de traitement de l'eau du bassin,/c/produit-de-traitement-de-l-eau-du-bassin,True
Produit de traitement des plantes de bassin,/c/produit-de-traitement-des-plantes-de-bassin,True
Pot en plastique rond,/c/pot-en-plastique-rond,True
Pot en plastique carré,/c/pot-en-plastique-carre,True
Jardinière en plastique,/c/jardiniere-en-plastique,True
Support à roulettes pour pot de fleurs,/c/support-a-roulettes-pour-pot-de-fleurs,True
Support pour jardinière de balcon,/c/support-pour-jardiniere-de-balcon,True
Soucoupe pour pot en terre cuite,/c/soucoupe-pour-pot-en-terre-cuite,True
Soucoupe pour pot en terre cuite émaillée,/c/soucoupe-pour-pot-en-terre-cuite-emaillee,True
Soucoupe pour pot en plastique,/c/soucoupe-pour-pot-en-plastique,True
Soucoupe pour pot en fibre,/c/soucoupe-pour-pot-en-fibre,True
Pot en fibre carré,/c/pot-en-fibre-carre,True
Jardinière en fibre,/c/jardiniere-en-fibre,True
Bâche & liner pour bassin,/c/bache-et-liner-pour-bassin,True
Décoration pour bassin,/c/decoration-pour-bassin,False
Matériel pour le bassin,/c/materiel-pour-le-bassin,False
Bassin de jardin,/c/bassin-de-jardin,False
Graviers & galets pour le jardin,/c/graviers-et-galets-pour-le-jardin,True
Bordure de jardin en pierre,/c/bordure-de-jardin-en-pierre,True
Bordure de jardin en bois,/c/bordure-de-jardin-en-bois,True
Sujet cracheur pour bassin,/c/sujet-cracheur-pour-bassin,True
Aération de bassin,/c/aeration-de-bassin,True
Bassin de jardin préformé,/c/bassin-de-jardin-preforme,True
Eclairage pour bassin,/c/eclairage-pour-bassin,True
Matériel d'entretien du bassin,/c/materiel-d-entretien-du-bassin,True
Pompe pour bassin,/c/pompe-pour-bassin,True
Filtre de bassin,/c/filtre-de-bassin,True
Pierre pour bassin,/c/pierre-pour-bassin,True
Fontaine de bassin,/c/fontaine-de-bassin,True
Bordure de jardin en métal,/c/bordure-de-jardin-en-metal,True
Bordure de jardin en plastique,/c/bordure-de-jardin-en-plastique,True
Abri & rangement d'extérieur,/c/abri-et-rangement-d-exterieur,False
Outil & matériel de bricolage,/c/outil-et-materiel-de-bricolage,False
Equipement du jardinier,/c/equipement-du-jardinier,False
Matériel de protection des végétaux & de culture,/c/materiel-de-protection-des-vegetaux-et-de-culture,False
Compostage & accessoires,/c/compostage-et-accessoires,False
Outillage de jardin à main,/c/outillage-de-jardin-a-main,False
Garage & carport,/c/garage-et-carport,True
Peinture & droguerie,/c/peinture-et-droguerie,False
Protection du visage,/c/protection-du-visage,False
Matériel de semis & godet,/c/materiel-de-semis-et-godet,False
Sacs à déchets de jardin,/c/sacs-a-dechets-de-jardin,True
Râtelier & porte outils,/c/ratelier-et-porte-outils,True
Outils de jardin pour enfants,/c/outils-de-jardin-pour-enfants,True
Produit de traitement du sol,/c/produit-de-traitement-du-sol,True
"Casque, masque et lunettes de protection",/c/casque-masque-et-lunettes-de-protection,True
Godet en plastique pour semis,/c/godet-en-plastique-pour-semis,True
Godet de tourbe,/c/godet-de-tourbe,True
Accessoires pour semis,/c/accessoires-pour-semis,True
Bouchons d'oreille & casque anti-bruit,/c/bouchons-d-oreille-et-casque-anti-bruit,True
"Peinture pour bois, fer & sol",/c/peinture-pour-bois-fer-et-sol,True
Peinture glycéro pour plafond,/c/peinture-glycero-pour-plafond,True
Peinture glycéro d'intérieur,/c/peinture-glycero-d-interieur,True
Peinture acrylique d'intérieur,/c/peinture-acrylique-d-interieur,True
Colle & adhésif,/c/colle-et-adhesif,True
